"avatarUrl","checkinDate","checkoutDate","countryCode","countryName","customerType","guestTypeTranslation","helpfulVotesCount","hotelId","isApproved","negativeText","numNights","photos/0/__typename","photos/0/id","photos/0/kind","photos/0/urls/0/__typename","photos/0/urls/0/size","photos/0/urls/0/url","photos/0/urls/1/__typename","photos/0/urls/1/size","photos/0/urls/1/url","photos/0/urls/2/__typename","photos/0/urls/2/size","photos/0/urls/2/url","photos/1/__typename","photos/1/id","photos/1/kind","photos/1/urls/0/__typename","photos/1/urls/0/size","photos/1/urls/0/url","photos/1/urls/1/__typename","photos/1/urls/1/size","photos/1/urls/1/url","photos/1/urls/2/__typename","photos/1/urls/2/size","photos/1/urls/2/url","photos/2/__typename","photos/2/id","photos/2/kind","photos/2/urls/0/__typename","photos/2/urls/0/size","photos/2/urls/0/url","photos/2/urls/1/__typename","photos/2/urls/1/size","photos/2/urls/1/url","photos/2/urls/2/__typename","photos/2/urls/2/size","photos/2/urls/2/url","photos/3/__typename","photos/3/id","photos/3/kind","photos/3/urls/0/__typename","photos/3/urls/0/size","photos/3/urls/0/url","photos/3/urls/1/__typename","photos/3/urls/1/size","photos/3/urls/1/url","photos/3/urls/2/__typename","photos/3/urls/2/size","photos/3/urls/2/url","photos/4/__typename","photos/4/id","photos/4/kind","photos/4/urls/0/__typename","photos/4/urls/0/size","photos/4/urls/0/url","photos/4/urls/1/__typename","photos/4/urls/1/size","photos/4/urls/1/url","photos/4/urls/2/__typename","photos/4/urls/2/size","photos/4/urls/2/url","positiveText","reviewScore","reviewedDate","roomId","roomName","title","username"
"https://xx.bstatic.com/static/img/review/avatars/ava-a.png","2024-11-09","2024-11-13","eg","Egypt","GROUP_OF_FRIENDS","Group","","11206034","true","The gym is terrible very small no equipment and workers were painitng inside","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everything was great","8","11/13/2024, 7:18:09 PM","1120603409","Deluxe Double or Twin Room","Great value for money","Amr"
"https://lh3.googleusercontent.com/a/ALm5wu28uNuQ7FzlNQSwnhNLzd1dyJ71yB82_dru3OsW=s96-c","2024-11-06","2024-11-08","ae","United Arab Emirates","SOLO_TRAVELLERS","Solo traveler","","11206034","true","There is no food option, no room service.","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New clean hotel. Allowed me early check in as well.  Surrounded by plenty of fast food joints for a quick meal.","9","11/9/2024, 6:10:24 AM","1120603409","Deluxe Double or Twin Room","Your go to hotel if the location suits you. I was on a business trip","Caljuonask"
"https://lh3.googleusercontent.com/a/ALm5wu2ZxTda9SeS-Nue0jEPEAMEMQxskXo2tpMloCxO=s96-c","2024-11-05","2024-11-08","eg","Egypt","GROUP_OF_FRIENDS","Group","","11206034","true","View from the room, and my room wasn’t cleaned through out the stay","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Friendly staff and decent room for the price","8","11/8/2024, 6:37:08 PM","1120603408","Economy Double Room","Convenient and good value for money","Khaled"
"https://lh6.googleusercontent.com/-3ARtf-93TXI/AAAAAAAAAAI/AAAAAAAAACI/FhmnInJH9RU/s96-c/photo.jpg","2024-11-05","2024-11-06","sa","Saudi Arabia","COUPLES","Couple","","11206034","true","Every thing was good","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The price was good and the property was luxury","10","11/6/2024, 6:06:28 PM","1120603408","Economy Double Room","Fantastic","Nasser"
"https://lh3.googleusercontent.com/a/ACg8ocLyvw8tDH1a20xWgjj73zRx_pr9tqsEFwtcYi6Wv1-iRfrc7A=s96-c","2024-10-31","2024-11-02","sa","Saudi Arabia","COUPLES","Couple","1","11206034","true","","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The receptionist is very professional understanding,friendly,kind to customer👍","10","11/6/2024, 2:08:26 PM","1120603409","Deluxe Double or Twin Room",,"Mohammad"
"https://lh6.googleusercontent.com/-rkF6Bfpd-RE/AAAAAAAAAAI/AAAAAAAAAPA/lno7u6e4I74/photo.jpg?sz=50","2024-10-30","2024-11-04","sa","Saudi Arabia","FAMILIES","Family","","11206034","true","Nothing","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fear prices 
Good location 
Big room 
24 hours room service 
Very clean
Excellent staff and friendly","10","11/5/2024, 3:52:12 PM","1120603409","Deluxe Double or Twin Room",,"Doaa"
"https://lh3.googleusercontent.com/a/ACg8ocLvKbSLbSZzL-hg9NsjqqmgNzragHm3X2gQ468sBbO0=s96-c","2024-10-31","2024-11-01","cz","Czech Republic","GROUP_OF_FRIENDS","Group","1","11206034","true","","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The employes were great and very helpful-","10","11/4/2024, 6:13:11 AM","1120603408","Economy Double Room",,"Sheila"
"https://graph.facebook.com/v2.9/10153712667019809/picture?type=square&height=64&width=64","2024-10-29","2024-10-31","eg","Egypt","SOLO_TRAVELLERS","Solo traveler","","11206034","true","Nothing","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The size of the room is so comfortable","9","11/1/2024, 8:45:34 PM","1120603408","Economy Double Room","Very good hotel","Ola"
"https://xx.bstatic.com/static/img/review/avatars/ava-a.png","2024-10-24","2024-10-25","sa","Saudi Arabia","COUPLES","Couple","","11206034","true","","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Very nice hotel I booked for my visitor if they are happy","8","10/28/2024, 11:41:33 AM","1120603409","Deluxe Double or Twin Room",,"Abdullah"
"https://lh3.googleusercontent.com/--iX5FVd0qhU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclFl16ee2gzx6LcsyH-sns651EIgQ/s96-c/photo.jpg","2024-10-22","2024-10-23","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","","11206034","true","Almost is good ,but parking is very small to enter the cars.","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The man was in reception. Mustafa is a very nice  person with his good experience. He handles the guest very nicely.","8","10/25/2024, 6:12:28 AM","1120603412","Executive Suite",,"Farooq"
